f000, 10, 0, 0, 50, 0, 0
f004, bd, 0, 0, 58, 0, 0
f18b, 8d, 0, 0, 58, 0, 0
f164, 8d, 0, 0, 58, 0, 0
f1af, 86, 0, 0, 58, 0, 0
f1b1, 1f, c8, 0, 58, 0, 0
f1b3, 39, c8, 0, 58, 0, 0
f166, c6, c8, 0, 58, 0, 0
f168, 8e, c8, 7a, 50, 0, 0
f16b, bd, c8, 7a, 58, c800, 0
f53f, 4f, c8, 7a, 58, c800, 0
f540, 20, 0, 7a, 54, c800, 0
f548, 6f, 0, 7a, 54, c800, 0
f54a, 83, 0, 7a, 54, c800, 0
f54d, 2a, 0, 79, 50, c800, 0
f548, 6f, 0, 79, 50, c800, 0
f54a, 83, 0, 79, 54, c800, 0
f54d, 2a, 0, 78, 50, c800, 0
f548, 6f, 0, 78, 50, c800, 0
f54a, 83, 0, 78, 54, c800, 0
f54d, 2a, 0, 77, 50, c800, 0
f548, 6f, 0, 77, 50, c800, 0
f54a, 83, 0, 77, 54, c800, 0
f54d, 2a, 0, 76, 50, c800, 0
f548, 6f, 0, 76, 50, c800, 0
f54a, 83, 0, 76, 54, c800, 0
f54d, 2a, 0, 75, 50, c800, 0
f548, 6f, 0, 75, 50, c800, 0
f54a, 83, 0, 75, 54, c800, 0
f54d, 2a, 0, 74, 50, c800, 0
f548, 6f, 0, 74, 50, c800, 0
f54a, 83, 0, 74, 54, c800, 0
f54d, 2a, 0, 73, 50, c800, 0
f548, 6f, 0, 73, 50, c800, 0
f54a, 83, 0, 73, 54, c800, 0
f54d, 2a, 0, 72, 50, c800, 0
f548, 6f, 0, 72, 50, c800, 0
f54a, 83, 0, 72, 54, c800, 0
f54d, 2a, 0, 71, 50, c800, 0
f548, 6f, 0, 71, 50, c800, 0
f54a, 83, 0, 71, 54, c800, 0
f54d, 2a, 0, 70, 50, c800, 0
f548, 6f, 0, 70, 50, c800, 0
f54a, 83, 0, 70, 54, c800, 0
f54d, 2a, 0, 6f, 50, c800, 0
f548, 6f, 0, 6f, 50, c800, 0
f54a, 83, 0, 6f, 54, c800, 0
f54d, 2a, 0, 6e, 50, c800, 0
